标准实体编号,标准实体名称,实体类型,别名集合,定义或备注,代表来源文档,代表来源页码,代表证据句,关联原始实体数,累计提及次数,最高置信度,复核状态
SE0045,剪切变后掠,变形方式,,剪切变后掠方式对气动特性的影响，针对翼身组,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,剪切变后掠方式对气动特性的影响，针对翼身组,1,2,0.9,已规范化
SE0046,单-双折叠翼,变形方式,,为此，本文发展和完善了一种单-双折叠翼变体飞行器的新概念。这种变体,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,为此，本文发展和完善了一种单-双折叠翼变体飞行器的新概念。这种变体,1,20,0.95,已规范化
SE0047,单-双折叠翼变体技术,变形方式,,空中折叠变体试验和相关地面试验，实现了单-双折叠翼变体技术的原理验,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,32,空中折叠变体试验和相关地面试验，实现了单-双折叠翼变体技术的原理验,1,8,0.95,已规范化
SE0048,变体包线,变形方式,,7.2.1单-双折叠翼变体飞行器的飞行包线与变体包线.........................103,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,10,7.2.1 单-双折叠翼变体飞行器的飞行包线与变体包线 ......................... 103,1,19,0.95,已规范化
SE0049,变体技术,变形方式,,展弦比飞行器也存在着对起降跑道要求高、抗风能力差的缺陷。变展长变体技术,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,展弦比飞行器也存在着对起降跑道要求高、抗风能力差的缺陷。变展长变体技术,1,20,0.95,已规范化
SE0050,变体方案,变形方式,,图1.13NextGenAeronautics公司滑动蒙皮的机翼变体方案........................8,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,11,图 1.13 NextGen Aeronautics 公司滑动蒙皮的机翼变体方案 ........................ 8,1,20,0.95,已规范化
SE0051,变体过程,变形方式,,在双翼构型下的气动特性、变体过程中的气动特性以及气动力驱动变体的副翼特,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,在双翼构型下的气动特性、变体过程中的气动特性以及气动力驱动变体的副翼特,1,20,0.95,已规范化
SE0052,变前掠,变形方式,,力装置变体和组合变体方案的发展历程和现状，重点阐述了可变后掠机翼、可变前掠机翼、折叠机翼、伸缩机翼、斜置机,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,力装置变体和组合变体方案的发展历程和现状，重点阐述了可变后掠机翼、可变前掠机翼、折叠机翼、伸缩机翼、斜置机,1,12,0.95,已规范化
SE0053,变后掠变展长,变形方式,,图29变后掠变展长组合方案［52］,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,13,图29 变后掠变展长组合方案［52］,1,1,0.9,已规范化
SE0054,变后掠翼,变形方式,变后掠；变后掠机翼；变后掠机翼技术,力装置变体和组合变体方案的发展历程和现状，重点阐述了可变后掠机翼、可变前掠机翼、折叠机翼、伸缩机翼、斜置机,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,力装置变体和组合变体方案的发展历程和现状，重点阐述了可变后掠机翼、可变前掠机翼、折叠机翼、伸缩机翼、斜置机,4,51,0.95,已规范化
SE0055,变展长技术,变形方式,变展长；变展长变体；机翼伸缩；变展长变体技术；变翼展,展弦比飞行器也存在着对起降跑道要求高、抗风能力差的缺陷。变展长变体技术,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,展弦比飞行器也存在着对起降跑道要求高、抗风能力差的缺陷。变展长变体技术,5,60,0.95,已规范化
SE0056,变弦长,变形方式,,后掠、变展长、变弦长，翼面外变形包括变扭转、展,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,3,后掠、变展长、变弦长，翼面外变形包括变扭转、展,1,2,0.9,已规范化
SE0057,变形技术,变形方式,,张平.中等尺度变形内变体飞机结构设计与变形技术研究[D].南,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,5,张平. 中等尺度变形内变体飞机结构设计与变形技术研究[D]. 南,1,2,0.9,已规范化
SE0058,变形方式,变形方式,,伸缩翼多用于低速飞行器，变形方式简单易实现,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,伸缩翼 多用于低速飞行器，变形方式简单易实现,1,13,0.95,已规范化
SE0059,变形方案,变形方式,,跨域变构飞行器变形方案设计及气动特性分析,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,跨域变构飞行器变形方案设计及气动特性分析,1,8,0.95,已规范化
SE0060,变构技术,变形方式,,行器将是重要的发展趋势之一。但变构技术实现难,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,行器将是重要的发展趋势之一。但变构技术实现难,1,4,0.95,已规范化
SE0061,变构方式,变形方式,,的限制，以变构方式在不同形态之间切换、突破现,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,的限制，以变构方式在不同形态之间切换、突破现,1,8,0.95,已规范化
SE0062,变构过程,变形方式,,气动外形的选择与变构过程的设计。基准外形是总,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,气动外形的选择与变构过程的设计。基准外形是总,1,4,0.95,已规范化
SE0063,多维度柔性变形,变形方式,,发展分为简单机械变形、多维度柔性变形2个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,1,5,0.95,已规范化
SE0064,大展弦比变展长变体,变形方式,,第2章大展弦比变展长变体飞行器设计规律研究.....................。..............16,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,8,第 2 章 大展弦比变展长变体飞行器设计规律研究 .....................。.............. 16,1,13,0.95,已规范化
SE0065,头部变体,变形方式,,发展分为简单机械变形、多维度柔性变形2个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,1,6,0.95,已规范化
SE0066,弹头偏转变形,变形方式,,所示。其中相对体轴线的弹头偏转变形对飞行,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,所示。其中相对体轴线的弹头偏转变形对飞行,1,2,0.9,已规范化
SE0067,折叠翼,变形方式,折叠机翼；folding wing,Fig. 34 Development history of folding wing,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,16,Fig. 34 Development history of folding wing,3,44,0.95,已规范化
SE0068,旋转变后掠,变形方式,,数。与旋转变后掠相比，剪切变后掠形式在变后,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,数。与旋转变后掠相比，剪切变后掠形式在变后,1,1,0.9,已规范化
SE0069,智能变形与传感技术,变形方式,,资助下开展了智能变形与传感技术(SmartMor‐,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,资助下开展了智能变形与传感技术(Smart Mor‐,1,1,0.9,已规范化
SE0070,机头下垂,变形方式,,翼偏转、机头下垂、机翼变后掠等。狭义上的变,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,翼偏转、机头下垂、机翼变后掠等。狭义上的变,1,1,0.9,已规范化
SE0071,机械变形,变形方式,,发展分为简单机械变形、多维度柔性变形2个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,1,7,0.95,已规范化
SE0072,机翼变体,变形方式,,5.2.1机翼变体的2自由度动力学分析..................................................77,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,9,5.2.1 机翼变体的2 自由度动力学分析 .................................................. 77,1,20,0.95,已规范化
SE0073,机翼扭转,变形方式,,对机翼扭转变形的驱动。在此期间，NASA联合,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,对机翼扭转变形的驱动。在此期间，NASA联合,1,5,0.95,已规范化
SE0074,机翼连续变弯度,变形方式,,机翼连续变弯度和机翼扭转。这一阶段的变体,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,机翼连续变弯度和机翼扭转。这一阶段的变体,1,3,0.95,已规范化
SE0075,柔性变形,变形方式,,变形幅度小，目前的柔性变形材料无法适用于高速飞行器的高热环境,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,变形幅度小，目前的柔性变形材料无法适用于高速飞行器的高热环境,1,11,0.95,已规范化
SE0076,柔性变构,变形方式,,适应甚至智能化的能力。到了柔性变构阶段，对智,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,适应甚至智能化的能力。到了柔性变构阶段，对智,1,3,0.95,已规范化
SE0077,气动弹性变形,变形方式,,航空学报629595-3变形来提高气动效率，变体设计方案如图2［5］所示，飞行试验结果表明自适应机翼在设计巡航点阻力减少了约7%，非设计点的阻力减少了20%以上［5］。1985年，NASA与洛克韦尔公…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,航 空 学 报 629595-3 变形来提高气动效率，变体设计方案如图2 ［5］所 示，飞行试验结果表明自适应机翼在设计巡航点 阻力减少了约7%，非设计点的阻力减少了20% 以上 ［5］。 1985 年，NASA 与洛克韦尔公司合作开展了 主动柔性机翼(Active Flexible Wing， AFW)项 目 ［6］，1996 年扩展为主动气动弹性机翼(Active Aeroelastic Wing， AAW)计划 ［7］。该项目采,1,1,0.9,已规范化
SE0078,滑动蒙皮,变形方式,滑动蒙皮方案,刘欣煜等以一种滑动蒙皮变后掠翼飞行器为研究,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,刘欣煜等 以一种滑动蒙皮变后掠翼飞行器为研究,2,9,0.95,已规范化
SE0079,空天变构技术,变形方式,空天变构飞行技术；空天变构,空天变构飞行技术研究现状与未来发展研判,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,空天变构飞行技术研究现状与未来发展研判,2,11,0.95,已规范化
SE0080,简单机械变形,变形方式,,发展分为简单机械变形、多维度柔性变形2个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,1,3,0.95,已规范化
SE0081,组合变体,变形方式,,力装置变体和组合变体方案的发展历程和现状，重点阐述了可变后掠机翼、可变前掠机翼、折叠机翼、伸缩机翼、斜置机,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,力装置变体和组合变体方案的发展历程和现状，重点阐述了可变后掠机翼、可变前掠机翼、折叠机翼、伸缩机翼、斜置机,1,8,0.95,已规范化
SE0082,跨域变构,变形方式,,跨域变构飞行器变形方案设计及气动特性分析,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,跨域变构飞行器变形方案设计及气动特性分析,1,6,0.95,已规范化
SE0083,连续变弯度机翼,变形方式,变弯度机翼；机翼弯度变化；机翼后缘连续变弯度,翼、连续变弯度机翼等机翼变体方案的研究进展，总结其在不同布局构型上的应用，并分析了各自的气动、操稳特性。之,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,翼、连续变弯度机翼等机翼变体方案的研究进展，总结其在不同布局构型上的应用，并分析了各自的气动、操稳特性。之,4,15,0.95,已规范化
SE0084,非连续变形,变形方式,,油效率的提高；蒙皮等非连续变形使局部结构,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,油效率的提高；蒙皮等非连续变形使局部结构,1,2,0.9,已规范化
SE0085,三角翼布局,气动布局,,三角翼布局，这一阶段的变体技术基本上均为在,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,三角翼布局，这一阶段的变体技术基本上均为在,1,3,0.95,已规范化
SE0086,上下机翼,气动布局,上下翼,图4.5上下机翼处于不同位置时机翼的零升攻角.......................................39,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 4.5 上下机翼处于不同位置时机翼的零升攻角 ....................................... 39,2,40,0.95,已规范化
SE0087,二维双翼,气动布局,,图4.1传统双翼理论中描述二维双翼的主要平面参数................................36,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 4.1 传统双翼理论中描述二维双翼的主要平面参数 ................................ 36,1,12,0.95,已规范化
SE0088,单翼,气动布局,,图6.6活动机翼处于单翼状态时连杆弯曲引起的变形................................91,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,15,图 6.6 活动机翼处于单翼状态时连杆弯曲引起的变形 ................................ 91,1,20,0.95,已规范化
SE0089,单翼构型,气动布局,,图6.7活动机翼处于单翼构型时连杆扭转引起的变形................................92,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,15,图 6.7 活动机翼处于单翼构型时连杆扭转引起的变形 ................................ 92,1,20,0.95,已规范化
SE0090,单连杆构型双翼,气动布局,,图4.39单连杆构型双翼与双连杆构型双翼的压力分布比较.......................62,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,14,图 4.39 单连杆构型双翼与双连杆构型双翼的压力分布比较 ....................... 62,1,2,0.9,已规范化
SE0091,双垂尾正常式气动布局,气动布局,,型成果。F-14采用双垂尾正常式气动布局，能根,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,型成果。F-14 采用双垂尾正常式气动布局，能根,1,1,0.9,已规范化
SE0092,双机身布局,气动布局,,双机身布局是飞行器总体外形或翼面组合方式，直接影响气动效率、稳定性和任务适应性。,待人工补充,,,1,0,0.6,已规范化
SE0093,双翼,气动布局,,在双翼构型下的气动特性、变体过程中的气动特性以及气动力驱动变体的副翼特,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,在双翼构型下的气动特性、变体过程中的气动特性以及气动力驱动变体的副翼特,1,20,0.95,已规范化
SE0094,双翼布局,气动布局,,4.2双翼布局的气动特性研究...................................................................34,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,9,4.2 双翼布局的气动特性研究 ................................................................... 34,1,19,0.95,已规范化
SE0095,双翼构型,气动布局,,在双翼构型下的气动特性、变体过程中的气动特性以及气动力驱动变体的副翼特,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,在双翼构型下的气动特性、变体过程中的气动特性以及气动力驱动变体的副翼特,1,20,0.95,已规范化
SE0096,变构型技术,气动布局,,折展变构型技术将适应高速飞行及低速飞行任务的,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,折展变构型技术将适应高速飞行及低速飞行任务的,1,2,0.9,已规范化
SE0097,多机身布局,气动布局,,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,上进一步开发出了连接翼布局、支撑翼布局、双/多机身布局等其他布局形式，以,1,3,0.95,已规范化
SE0098,展开构型,气动布局,unfolded configuration；大翼面展开构型,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,3,19,0.95,已规范化
