标准关系编号,头标准实体编号,头实体标准名,头实体类型,关系类型,尾标准实体编号,尾实体标准名,尾实体类型,证据句,来源文档,来源页码,置信度,出现次数,抽取方法,复核状态,原始关系编号
SR0011,SE0409,六面体网格,研究方法,包括,SE0428,背景网格,研究方法,CFD 计算中使用的网格为结构化的六面体网格，包括背景网格和嵌套网,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,81,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0265
SR0012,SE0386,关键技术难点,设计问题,包括,SE0475,多学科耦合设计,专业概念,估、气动布局方案优化、多学科耦合设计等方面的关键技术难点，重点对变体飞行器动态气动力计算方法和气动优化设,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0034
SR0013,SE0386,关键技术难点,设计问题,包括,SE0279,时变空气动力学效应,性能指标,系对变构飞行器气动布局设计的关键技术难点进行,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0033
SR0014,SE0122,前缘,结构部件,包括,SE0127,后缘,结构部件,的变形，包括前缘变弯度、可变后缘、变厚度等变,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,9,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0560
SR0015,SE0254,升力,性能指标,包括,SE0337,阻力,性能指标,化特性开展研究，研究内容包括变体过程中升力、阻力的变化情况，变体过程中,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0419
SR0016,SE0256,升阻比,性能指标,包括,SE0093,双翼,气动布局,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0394
SR0017,SE0046,单-双折叠翼,变形方式,包括,SE0188,变体机构,机构/执行系统,单-双折叠翼变体所带来的代价可以分为三个部分：变体机构等增加了飞,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,133,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0291
SR0018,SE0046,单-双折叠翼,变形方式,包括,SE0051,变体过程,变形方式,图 5.3 将单-双折叠翼变体过程中的自由度分为三部分分别控制,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,100,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0303
SR0019,SE0046,单-双折叠翼,变形方式,包括,SE0165,结构增重,结构部件,单-双折叠翼变体的直接结构增重可以分为四部分，其一是连杆和铰链的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,133,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0292
SR0020,SE0012,单-双折叠翼变体飞行器,飞行器对象,包括,SE0124,副翼,结构部件,到完整的单-双折叠翼变体飞行器模型比较复杂，包含副翼、连杆等较多结,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0264
SR0021,SE0012,单-双折叠翼变体飞行器,飞行器对象,包括,SE0129,固定机翼,结构部件,在单-双折叠翼变体飞行器中，每侧的固定机翼与活动机翼之间的连杆并不局,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,45,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0038
SR0022,SE0012,单-双折叠翼变体飞行器,飞行器对象,包括,SE0163,活动机翼,结构部件,在单-双折叠翼变体飞行器中，每侧的固定机翼与活动机翼之间的连杆并不局,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,45,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0039
SR0023,SE0125,单块式机翼,结构部件,包括,SE0135,多腹板式机翼,结构部件,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0283
SR0024,SE0088,单翼,气动布局,包括,SE0256,升阻比,性能指标,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0396
SR0025,SE0088,单翼,气动布局,包括,SE0093,双翼,气动布局,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0153
SR0026,SE0093,双翼,气动布局,包括,SE0254,升力,性能指标,图 4.38 包含连杆构型双翼与不含连杆构型双翼的升力和阻力比较,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,79,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0518
SR0027,SE0093,双翼,气动布局,包括,SE0321,翼展,专业概念,状态下，固定机翼与活动机翼组成双翼式布局，此时飞机具有较小的翼展、对起,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0391
SR0028,SE0093,双翼,气动布局,包括,SE0337,阻力,性能指标,图 4.38 包含连杆构型双翼与不含连杆构型双翼的升力和阻力比较,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,79,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0519
SR0029,SE0094,双翼布局,气动布局,包括,SE0299,气动性能,性能指标,翼布局的空气动力学特性研究，研究内容包括双翼布局的二维弦向气动特性和三,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0412
SR0030,SE0095,双翼构型,气动布局,包括,SE0115,上机翼,结构部件,另一方面，当飞机处于双翼构型时，上机翼、下机翼和连杆组成了稳定的类似,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,121,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0224
SR0031,SE0095,双翼构型,气动布局,包括,SE0116,下机翼,结构部件,另一方面，当飞机处于双翼构型时，上机翼、下机翼和连杆组成了稳定的类似,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,121,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0225
SR0032,SE0095,双翼构型,气动布局,包括,SE0254,升力,性能指标,从计算结果可看出，包含连杆的双翼构型，其升力相较于不包含连杆的构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0520
SR0033,SE0049,变体技术,变形方式,包括,SE0063,多维度柔性变形,变形方式,展弦比飞行器也存在着对起降跑道要求高、抗风能力差的缺陷。变展长变体技术,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0004
SR0034,SE0049,变体技术,变形方式,包括,SE0080,简单机械变形,变形方式,展弦比飞行器也存在着对起降跑道要求高、抗风能力差的缺陷。变展长变体技术,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0003
SR0035,SE0188,变体机构,机构/执行系统,包括,SE0012,单-双折叠翼变体飞行器,飞行器对象,变体机构和包含变体机构的飞机结构设计，是单-双折叠翼变体飞行器设,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,105,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0277
SR0036,SE0188,变体机构,机构/执行系统,包括,SE0304,气动设计,性能指标,包含变体机构的飞机结构设计，也同样与飞机的总体方案设计、气动设计、飞,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,105,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0217
SR0037,SE0188,变体机构,机构/执行系统,包括,SE0168,结构设计,结构部件,变体机构和包含变体机构的飞机结构设计，是单-双折叠翼变体飞行器设,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,105,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0522
SR0038,SE0051,变体过程,变形方式,包括,SE0254,升力,性能指标,化特性开展研究，研究内容包括变体过程中升力、阻力的变化情况，变体过程中,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0420
SR0039,SE0051,变体过程,变形方式,包括,SE0337,阻力,性能指标,化特性开展研究，研究内容包括变体过程中升力、阻力的变化情况，变体过程中,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0421
SR0040,SE0054,变后掠翼,变形方式,包括,SE0258,后掠角,性能指标,变形，包括变展长、变后掠角、变上反角等多种形,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,9,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0561
SR0041,SE0054,变后掠翼,变形方式,包括,SE0067,折叠翼,变形方式,性能之间的设计矛盾。现有的变展长变体方式包括变后掠、折叠翼尖、柔性桁,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0174
SR0042,SE0055,变展长技术,变形方式,包括,SE0054,变后掠翼,变形方式,性能之间的设计矛盾。现有的变展长变体方式包括变后掠、折叠翼尖、柔性桁,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.86,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0175；R0317
SR0043,SE0055,变展长技术,变形方式,包括,SE0056,变弦长,专业概念,后掠、变展长、变弦长，翼面外变形包括变扭转、展,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,3,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0312
SR0044,SE0055,变展长技术,变形方式,包括,SE0258,后掠角,性能指标,变形，包括变展长、变后掠角、变上反角等多种形,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,9,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0562
SR0045,SE0055,变展长技术,变形方式,包括,SE0067,折叠翼,变形方式,性能之间的设计矛盾。现有的变展长变体方式包括变后掠、折叠翼尖、柔性桁,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0176
SR0046,SE0058,变形方式,变形方式,包括,SE0185,动力装置变体,机构/执行系统,伸缩翼 多用于低速飞行器，变形方式简单易实现,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0007
SR0047,SE0058,变形方式,变形方式,包括,SE0065,头部变体,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0005
SR0048,SE0058,变形方式,变形方式,包括,SE0072,机翼变体,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0006
SR0049,SE0058,变形方式,变形方式,包括,SE0081,组合变体,变形方式,伸缩翼 多用于低速飞行器，变形方式简单易实现,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0008
SR0050,SE0016,变构飞行器,飞行器对象,包括,SE0129,固定机翼,结构部件,翼变体飞行器全机已经不再适用，为此，在研究中，将飞机拆分为固定机翼及,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,84,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0214
SR0051,SE0129,固定机翼,结构部件,包括,SE0116,下机翼,结构部件,3.1 所示。其机翼分为两部分：固定机翼(内、下机翼)和活动机翼(外、上机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0111
SR0052,SE0129,固定机翼,结构部件,包括,SE0119,充气机翼,结构部件,案 ，如图 1.14 所示，这种飞机分为内侧的固定机翼和外侧的充气机翼两部,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,27,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0109
SR0053,SE0129,固定机翼,结构部件,包括,SE0046,单-双折叠翼,变形方式,固定机翼和活动机翼的间断位置：单-双折叠翼变体的机翼分为固定机翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,128,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0289
SR0054,SE0129,固定机翼,结构部件,包括,SE0163,活动机翼,结构部件,3.1 所示。其机翼分为两部分：固定机翼(内、下机翼)和活动机翼(外、上机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0112
SR0055,SE0130,固定机翼与活动机翼,结构部件,包括,SE0093,双翼,气动布局,状态下，固定机翼与活动机翼组成双翼式布局，此时飞机具有较小的翼展、对起,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0151
SR0056,SE0130,固定机翼与活动机翼,结构部件,包括,SE0094,双翼布局,气动布局,图 3.4 固定机翼与活动机翼之间的连杆为两个或多个时的情况 .................. 28,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0040
SR0057,SE0130,固定机翼与活动机翼,结构部件,包括,SE0321,翼展,专业概念,状态下，固定机翼与活动机翼组成双翼式布局，此时飞机具有较小的翼展、对起,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0392
SR0058,SE0472,固定翼,专业概念,包括,SE0343,飞行包线,专业概念,对于常规布局的固定翼飞行器，其飞行包线主要包括速度包线，过载包,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,121,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0306
SR0059,SE0017,固定翼飞机,飞行器对象,包括,SE0046,单-双折叠翼,变形方式,量，不同尺寸的长航时固定翼飞机，包括15 公斤级的单-双折叠翼变体原理验,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,50,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0126
SR0060,SE0017,固定翼飞机,飞行器对象,包括,SE0125,单块式机翼,结构部件,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0286
SR0061,SE0017,固定翼飞机,飞行器对象,包括,SE0135,多腹板式机翼,结构部件,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0287
SR0062,SE0017,固定翼飞机,飞行器对象,包括,SE0159,梁式机翼,结构部件,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0285
SR0063,SE0063,多维度柔性变形,变形方式,包括,SE0058,变形方式,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0095
SR0064,SE0063,多维度柔性变形,变形方式,包括,SE0065,头部变体,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0097
SR0065,SE0063,多维度柔性变形,变形方式,包括,SE0072,机翼变体,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0098
SR0066,SE0065,头部变体,变形方式,包括,SE0072,机翼变体,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0093
SR0067,SE0266,展弦比,性能指标,包括,SE0256,升阻比,性能指标,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0397
SR0068,SE0266,展弦比,性能指标,包括,SE0088,单翼,气动布局,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0393
SR0069,SE0266,展弦比,性能指标,包括,SE0093,双翼,气动布局,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0398
SR0070,SE0099,常规布局,气动布局,包括,SE0472,固定翼,专业概念,对于常规布局的固定翼飞行器，其飞行包线主要包括速度包线，过载包,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,121,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0305
SR0071,SE0099,常规布局,气动布局,包括,SE0343,飞行包线,专业概念,对于常规布局的固定翼飞行器，其飞行包线主要包括速度包线，过载包,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,121,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0307
SR0072,SE0273,摩擦阻力,性能指标,包括,SE0327,诱导阻力,性能指标,零升阻力的主要组成部分是摩擦阻力，减阻比较困难，而诱导阻力则反比于飞机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0140
SR0073,SE0273,摩擦阻力,性能指标,包括,SE0337,阻力,性能指标,于不包含连杆的构型有较大幅度提升，这主要是由于连杆的摩擦阻力和连杆引,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0450
SR0074,SE0151,机械结构,结构部件,包括,SE0054,变后掠翼,变形方式,机型，借助于机械结构驱动，设计方案包括变后掠,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0314
SR0075,SE0072,机翼变体,变形方式,包括,SE0041,伸缩翼,变形方式,弹应用伸缩机翼、可变后掠机翼、折叠机翼变体方,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0010
SR0076,SE0072,机翼变体,变形方式,包括,SE0067,折叠翼,变形方式,弹应用伸缩机翼、可变后掠机翼、折叠机翼变体方,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0009
SR0077,SE0072,机翼变体,变形方式,包括,SE0146,斜置机翼,结构部件,5.2.1 机翼变体的2 自由度动力学分析 .................................................. 77,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,9,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0011
SR0078,SE0072,机翼变体,变形方式,包括,SE0083,连续变弯度机翼,变形方式,翼、连续变弯度机翼等机翼变体方案的研究进展，总结其在不同布局构型上的应用，并分析了各自的气动、操稳特性。之,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0012
SR0079,SE0159,梁式机翼,结构部件,包括,SE0125,单块式机翼,结构部件,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0282
SR0080,SE0159,梁式机翼,结构部件,包括,SE0135,多腹板式机翼,结构部件,固定翼飞机的机翼结构一般包括梁式机翼、单块式机翼、多腹板式机翼等,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0284
SR0081,SE0159,梁式机翼,结构部件,包括,SE0172,翼根,结构部件,多种 。梁式机翼根据机翼梁的数量，可以分为单梁式机翼、双梁式机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0304
SR0082,SE0159,梁式机翼,结构部件,包括,SE0176,蒙皮,结构部件,翼和多梁式机翼，其主要结构包括蒙皮、翼肋、翼梁(包括缘条和腹板)、纵,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,117,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0458
SR0083,SE0291,气动力,性能指标,包括,SE0094,双翼布局,气动布局,翼布局的空气动力学特性研究，研究内容包括双翼布局的二维弦向气动特性和三,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0413
SR0084,SE0291,气动力,性能指标,包括,SE0299,气动性能,性能指标,翼布局的空气动力学特性研究，研究内容包括双翼布局的二维弦向气动特性和三,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0414
SR0085,SE0107,气动布局设计,气动布局,包括,SE0295,气动外形,性能指标,气动布局设计包括气动外形的设计、飞行器布,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0331
SR0086,SE0299,气动性能,性能指标,包括,SE0094,双翼布局,气动布局,翼布局的空气动力学特性研究，研究内容包括双翼布局的二维弦向气动特性和三,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0160
SR0087,SE0299,气动性能,性能指标,包括,SE0291,气动力,性能指标,翼布局的空气动力学特性研究，研究内容包括双翼布局的二维弦向气动特性和三,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0411
SR0088,SE0163,活动机翼,结构部件,包括,SE0256,升阻比,性能指标,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0399
SR0089,SE0163,活动机翼,结构部件,包括,SE0046,单-双折叠翼,变形方式,固定机翼和活动机翼的间断位置：单-双折叠翼变体的机翼分为固定机翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,128,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0288
SR0090,SE0163,活动机翼,结构部件,包括,SE0088,单翼,气动布局,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0152
SR0091,SE0163,活动机翼,结构部件,包括,SE0093,双翼,气动布局,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0154
SR0092,SE0163,活动机翼,结构部件,包括,SE0266,展弦比,性能指标,活动机翼组成大展弦比单翼布局，此时飞机具有较好的巡航升阻比。在从双翼构,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0395
